city_name,postal_code,price_sqm,region,province,longitude,lattitude
's Gravenwezel,2970.0,3291.178997667975,Flandre,Anvers,4.5556038,51.26248560000001
Aalst,9300.0,2507.656390482156,Flandre,Flandre-Orientale,4.0396424203486,50.9429755
Aalter,9880.0,2611.2130391276755,Flandre,Flandre-Orientale,3.4176803282422,51.088195
Aartrijke,8211.0,2552.5968565268413,Flandre,Flandre-Occidentale,3.0913265545139,51.1180002
Aartselaar,2630.0,2847.6320575138125,Flandre,Anvers,4.3870241,51.133297
Abolens,4280.0,2420.359888597643,Wallonie,Liège,5.1498313,50.6720609
Achel,3930.0,2169.5572906205284,Flandre,Limbourg,5.479289572001799,51.2684314
Adegem,9991.0,2563.9408092821745,Flandre,Flandre-Orientale,3.4858471,51.2035291
Afsnee,9051.0,3230.5632657281258,Flandre,Flandre-Orientale,3.6575415863856,51.0299989
Aische-En-Refail,5310.0,2607.1615996626306,Wallonie,Namur,4.8359955,50.59886820000001
Aiseau,6250.0,1648.3082357315486,Wallonie,Hainaut,4.5870152000000015,50.4111232
Aisemont,5070.0,1488.888888888889,Wallonie,Namur,4.6513189000000015,50.40485570000001
Alken,3570.0,2823.686695479589,Flandre,Limbourg,5.3079873,50.8754731
Alleur,4432.0,2029.35420554159,Wallonie,Liège,5.5129926,50.6742549
Alsemberg,1652.0,3597.3825419134664,Flandre,Brabant flamand,4.3281703413079,50.7449476
Ambresin,4219.0,2799.155835374902,Wallonie,Liège,5.0305133,50.6266779
Anderlecht,1070.0,2641.038772828538,Bruxelles,Bruxelles-Capitale,4.3123401,50.8381411
Anderlues,6150.0,963.75,Wallonie,Hainaut,4.2696102,50.4079969
Andrimont,4821.0,1910.0055741360088,Wallonie,Liège,5.8901888,50.4386821
Angleur,4031.0,1586.0371716501443,Wallonie,Liège,5.5954054000000015,50.6128164
Anloy,6890.0,2163.1765845873233,Wallonie,Luxembourg,5.2215609,49.94990429999999
Ans,4430.0,1841.9695942515298,Wallonie,Liège,5.5190612,50.6624326
Anthisnes,4160.0,1473.7488340328318,Wallonie,Liège,5.5225260999999986,50.481662
Antoing,7640.0,1290.625,Wallonie,Hainaut,3.4513116000000004,50.565911
Antwerpen,2020.117816091954,3341.7100760782682,Flandre,Anvers,4.3997081,51.2211097
Appelterre-Eichem,9400.0,2695.547006261661,Flandre,Flandre-Orientale,3.9673266115113,50.819114
Ardooie,8850.0,2565.473374432585,Flandre,Flandre-Occidentale,3.2045936674459,50.97076545
Arendonk,2370.0,2423.503786200186,Flandre,Anvers,5.0864557,51.3202315
Arquennes,7181.0,2452.6804711153222,Wallonie,Hainaut,4.287514819651,50.5640405
As,3665.0,2447.9166666666665,Flandre,Limbourg,5.572202585246202,51.0005396
Asquillies,7040.0,935.8288770053476,Wallonie,Hainaut,3.9570563,50.4020009
Asse,1730.0,2871.149105317114,Flandre,Brabant flamand,4.1804375072845,50.913594
Assebroek,8310.0,2863.9793727027795,Flandre,Flandre-Occidentale,3.2570785402002995,51.1933202
Assenede,9960.0,2660.082574696545,Flandre,Flandre-Orientale,3.7568076657628,51.23004155
Assent,3460.0,2723.1284138507567,Flandre,Brabant flamand,5.0136688435307,50.94677135
Athus,6791.0,2020.2084803575628,Wallonie,Luxembourg,5.8317660999999985,49.5642065
Attenhoven,3404.0,2514.9844720496894,Flandre,Brabant flamand,5.100653433046401,50.7653693
Attert,6717.0,2176.470588235294,Wallonie,Luxembourg,5.787221700000001,49.7514982
Aubange,6790.0,2223.2475660814907,Wallonie,Luxembourg,5.804352,49.5675296
Aubechies,7972.0,2526.881720430108,Wallonie,Hainaut,3.6769173,50.573932
Auderghem,1160.0,4191.968437745178,Bruxelles,Bruxelles-Capitale,4.4331389,50.8156571
Audregnies,7382.0,2857.1428571428573,Wallonie,Hainaut,3.7177788,50.3830135
Avelgem,8580.0,2276.88943613327,Flandre,Flandre-Occidentale,3.4468985313677,50.77549970000001
Averbode,3271.0,2237.0419403972032,Flandre,Brabant flamand,4.977084579487402,51.02784060000001
Awirs,4400.0,1926.5719472974374,Wallonie,Liège,5.409294999999998,50.5985223
Baal,3128.0,2449.3552863966056,Flandre,Brabant flamand,4.7505367662714,51.0075269
Baardegem,9310.0,1611.3965272398138,Flandre,Flandre-Orientale,4.1400064082098,50.9559778
Bachte-Maria-Leerne,9800.0,3071.470090950473,Flandre,Flandre-Orientale,3.5624453000000003,51.00382370000001
Baelen,4837.0,2130.380965821246,Wallonie,Liège,5.9715011,50.6311898
Bagimont,5550.0,1388.888888888889,Wallonie,Namur,4.8751221,49.8241964
Balen,2490.0,2172.080393934547,Flandre,Anvers,5.1937730761009,51.171804
Balâtre,5190.0,1703.633850092548,Wallonie,Namur,4.6382422,50.4983123
Bassevelde,9968.0,2270.32721098935,Flandre,Flandre-Orientale,3.678995200000001,51.2311917
Bauffe,7870.0,1861.111111111111,Wallonie,Hainaut,3.8537045,50.5701441
Bavikhove,8531.0,1958.5137085137085,Flandre,Flandre-Occidentale,3.3126044844799,50.8790473
Beaufays,4052.0,3008.187892168359,Wallonie,Liège,5.6387759000000015,50.5589633
Beersel,1650.0,2800.8256608769284,Flandre,Brabant flamand,4.305132149459101,50.7684432
Beerst,8600.0,2376.7446685336763,Flandre,Flandre-Occidentale,2.873227743412,51.05367055
Beerzel,2580.0,2942.6874600263172,Flandre,Anvers,4.6630807412987,51.06299735
Begijnendijk,3130.0,2712.6626733051603,Flandre,Brabant flamand,4.7826403117004,51.02422075
Belgrade,5001.0,2000.0,Wallonie,Namur,4.822295852263902,50.46923485
Belsele,9111.0,3099.0423155526687,Flandre,Flandre-Orientale,4.0917750185456,51.1570236
Ben-Ahin,4500.0,1852.186439908508,Wallonie,Liège,5.1773498,50.5033196
Berchem,2865.0467289719627,2706.659841733772,Flandre,Anvers,4.4317026387884,51.1918493
Berchem-Sainte-Agathe,1082.0,2519.858044183223,Bruxelles,Bruxelles-Capitale,4.2927019999999985,50.8639835
Bergilers,4360.0,2214.285714285714,Wallonie,Liège,5.3277139,50.7145424
Beringen,3580.0,2235.719770161049,Flandre,Limbourg,5.2208090823008,51.0502026
Berlaar,2590.0,3283.8899682994174,Flandre,Anvers,4.6640387634597005,51.10303735
Berlare,9290.0,2219.0726845891627,Flandre,Flandre-Orientale,4.0113470297154,51.0301606
Berlingen,3830.0,2355.3977507564628,Flandre,Limbourg,5.3111748927674,50.82338225
Bernissart,7320.0,1400.0,Wallonie,Hainaut,3.650467700000001,50.475502
Bertem,3060.0,3025.627681702796,Flandre,Brabant flamand,4.6322907,50.8706469
Berzée,5651.0,1767.0111972437553,Wallonie,Namur,4.4012206,50.2892396
Beselare,8980.0,2427.5862590619613,Flandre,Flandre-Occidentale,3.0293494282427003,50.85048855
Bevercé,4960.0,1952.1190912447378,Wallonie,Liège,6.0391879,50.4415348
Beveren,8799.362831858407,2237.340490784786,Flandre,Flandre-Occidentale,3.14416,50.9687312
Beverlo,3581.0,2449.426922988345,Flandre,Limbourg,5.2443565507180985,51.08973005
Beyne-Heusay,4610.0,2916.6666666666665,Wallonie,Liège,5.6534141,50.6220566
Bierges,1301.0,3326.868044515103,Wallonie,Brabant wallon,4.5894025,50.7111796
Bierghes,1430.0,2077.9995455234057,Wallonie,Brabant wallon,4.1227257983451,50.69657845
Bierset,4460.0,1754.566042406895,Wallonie,Liège,5.4512607000000015,50.6547149
Bihain,6690.0,1943.7481559453806,Wallonie,Luxembourg,5.8082072,50.2390245
Bikschote,8920.0,1630.4347826086957,Flandre,Flandre-Occidentale,2.863108835832,50.92504495
Binche,7130.0,1326.9497590548356,Wallonie,Hainaut,4.1701677159951,50.412824846084995
Binderveld,3850.0,2388.4032468411083,Flandre,Limbourg,5.168447929346598,50.86548295
Blaasveld,2830.0,2425.794384173946,Flandre,Anvers,4.3723517,51.0565194
Blanden,3052.0,3800.0,Flandre,Brabant flamand,4.7056796612254015,50.8281673
Blaton,7321.0,1521.7391304347825,Wallonie,Hainaut,3.6611754,50.5011724
Blégny,4670.0,2068.3303624480095,Wallonie,Liège,5.7252372000000005,50.6727185
Bocholt,3950.0,2407.4240357356207,Flandre,Limbourg,5.5995581946268,51.1924818
Boechout,2530.0,2876.912713662497,Flandre,Anvers,4.510406865149,51.1596941
Boirs,4690.0,1627.6050420366842,Wallonie,Liège,5.5788622000000005,50.7539251
Bois-D'haine,7170.0,1863.7422262039358,Wallonie,Hainaut,4.215693099999998,50.5023427
Bolland,4653.0,2788.8888888888887,Wallonie,Liège,5.7594413,50.6614055
Bombaye,4607.0,2354.228282805581,Wallonie,Liège,5.7429371,50.730153
Bon-Secours,7603.0,1052.6315789473683,Wallonie,Hainaut,3.607483,50.4976184
Boncelles,4100.0,2212.5603182015016,Wallonie,Liège,5.535569799999998,50.5742979
Bonheiden,2820.0,3476.6943489881633,Flandre,Anvers,4.5378217779072,51.0261294
Bonlez,1325.0,2527.378656813424,Wallonie,Brabant wallon,4.6896144999999985,50.7021372
Bonnert,6700.0,2617.231887672291,Wallonie,Luxembourg,5.819014299999999,49.7107729
Bonneville,5300.0,2176.486103529788,Wallonie,Namur,5.0338525,50.47092960000001
Booischot,2221.0,2212.719318026117,Flandre,Anvers,4.7692867998141,51.0471677
Boom,2850.0,2400.440871188446,Flandre,Anvers,4.366721599999999,51.0873789
Boorsem,3631.0,2291.6666666666665,Flandre,Limbourg,5.714723200000001,50.9408858
Boortmeerbeek,3190.0,2566.885401792073,Flandre,Brabant flamand,4.575800525,50.97828585
Borgerhout,2140.0,2416.5790752415496,Flandre,Anvers,4.4403895064496,51.21029905
Bornem,2880.0,3051.614412321279,Flandre,Anvers,4.2423260051519,51.0924649
Borsbeek,2150.0,2526.241716885186,Flandre,Anvers,4.488953,51.1928907
Borsbeke,9552.0,1827.5862068965516,Flandre,Flandre-Orientale,3.8945771,50.9047179
Bost,3300.0,2442.4649900568006,Flandre,Brabant flamand,4.9339239586832,50.7846322
Bouffioulx,6200.0,1359.0363485162206,Wallonie,Hainaut,4.5151961,50.390213
Bouge,5004.0,2759.8313953488373,Wallonie,Namur,4.891664450549,50.47887385
Bouillon,6830.0,2488.2084701696767,Wallonie,Luxembourg,5.0672528,49.7949836
Boussu,7300.0,1711.1800179309346,Wallonie,Hainaut,3.7960902,50.43312529999999
Bousval,1470.0,2681.8367967817217,Wallonie,Brabant wallon,4.5192034141632,50.63205335
Boutersem,3370.0,2858.5306943284713,Flandre,Brabant flamand,4.8336178052558,50.8473461
Bouwel,2288.0,1327.7777777777778,Flandre,Anvers,4.7370614385825,51.16210045
Boëlhe,4250.0,1932.7731092436977,Wallonie,Liège,5.167918299999998,50.6841901
Braine-L'alleud,1420.0,2708.640926130201,Wallonie,Brabant wallon,4.3548145440335,50.6940942
Braine-Le-Comte,7090.0,2090.8578578184365,Wallonie,Hainaut,4.1425138,50.61234810000001
Bras,6800.0,1906.8456658420055,Wallonie,Luxembourg,5.3877654,49.97601820000001
Brasschaat,2930.0,2711.180281174035,Flandre,Anvers,4.489307,51.2930933
Brecht,2960.0,2779.1213466099503,Flandre,Anvers,4.5972381789962,51.3347679
Bredene,8450.0,2702.189719297722,Flandre,Flandre-Occidentale,2.9725769468284,51.23890495
Bree,3960.0,2344.0173895370576,Flandre,Limbourg,5.6229805058514,51.1386239
Breendonk,2870.0,2721.0618210272874,Flandre,Anvers,4.3136108625549,51.0452687
Broekom,3840.0,2342.4537421340897,Flandre,Limbourg,5.3324574999999985,50.7819071
Brugelette,7940.0,2263.8888888888887,Wallonie,Hainaut,3.8546563,50.5954253
Brugge,8000.0,3519.189466290714,Flandre,Flandre-Occidentale,3.2073611,51.2147083
Brussegem,1785.0,2933.5697190633537,Flandre,Brabant flamand,4.265886900000001,50.9277713
Bruxelles,1000.0,3878.6789351370267,Bruxelles,Bruxelles-Capitale,4.351697,50.8465573
Buissenal,7911.0,1682.6923076923076,Wallonie,Hainaut,3.6551307,50.6648633
Buizingen,1501.0,2618.1072655866474,Flandre,Brabant flamand,4.2605080818496,50.73793415
Bulskamp,8630.0,2718.691639787919,Flandre,Flandre-Occidentale,2.6434487702288,51.0444613
Bunsbeek,3380.0,2718.530867061348,Flandre,Brabant flamand,4.9601107928553,50.8510351
Burcht,2070.0,2523.0890524347606,Flandre,Anvers,4.3416362,51.2028046
Buzet,6230.0,2067.777777777778,Wallonie,Hainaut,4.3713097181263,50.53893345
Carnières,7141.0,1259.98075998076,Wallonie,Hainaut,4.2542126,50.443039
Casteau,7061.0,2075.514874141876,Wallonie,Hainaut,4.0031319,50.5130195
Chapelle-À-Wattines,7903.0,2205.8823529411766,Wallonie,Hainaut,3.6551354,50.6125001
Chapon-Seraing,4537.0,1313.858695652174,Wallonie,Liège,5.2734472000000014,50.609673
Charleroi,6000.0,1409.851847399654,Wallonie,Hainaut,4.4491649999234015,50.41571025
Chastrès,5650.0,733.6448598130842,Wallonie,Namur,4.459200900000001,50.2649096
Chaudfontaine,4050.0,2591.911336844861,Wallonie,Liège,5.6469688,50.5847922
Chercq,7521.0,2239.480364595954,Wallonie,Hainaut,3.4212542,50.5885516
Chênee,4032.0,2161.519875324551,Wallonie,Liège,5.619261,50.6111024
Ciply,7024.0,2416.6666666666665,Wallonie,Hainaut,3.9438349,50.4193042
Clermont-Sous-Huy,4480.0,1534.65563932014,Wallonie,Liège,5.3922,50.569046
